State_Code,State,District_key,District,Confirmed,Active,Recovered,Deceased,Other
AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0
AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,0,0,0,0,0
AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,0,0,0,0,0
AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,7687,10,7548,129,0
AP,Andhra Pradesh,AP_Anantapur,Anantapur,158160,246,156821,1093,0
AP,Andhra Pradesh,AP_Chittoor,Chittoor,248336,924,245454,1958,0
AP,Andhra Pradesh,AP_East Godavari,East Godavari,294911,864,292757,1290,0
AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,496,62,434,0,0
AP,Andhra Pradesh,AP_Guntur,Guntur,179080,642,177184,1254,0
AP,Andhra Pradesh,AP_Krishna,Krishna,120512,904,118139,1469,0
AP,Andhra Pradesh,AP_Kurnool,Kurnool,124208,38,123316,854,0
AP,Andhra Pradesh,AP_Other State,Other State,2475,14,2461,0,0
AP,Andhra Pradesh,AP_Prakasam,Prakasam,138753,209,137415,1129,0
AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,146967,509,145403,1055,0
AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,123558,297,122471,790,0
AP,Andhra Pradesh,AP_Unknown,Unknown,57,-2456,2513,0,0
AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,158641,436,157069,1136,0
AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,83094,107,82314,673,0
AP,Andhra Pradesh,AP_West Godavari,West Godavari,179846,540,178185,1121,0
AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,115910,136,115130,644,0
AR,Arunachal Pradesh,AR_Anjaw,Anjaw,1068,0,1065,3,0
AR,Arunachal Pradesh,AR_Capital Complex,Capital Complex,31,4,27,0,0
AR,Arunachal Pradesh,AR_Changlang,Changlang,3810,1,3787,22,0
AR,Arunachal Pradesh,AR_East Kameng,East Kameng,1094,0,1094,0,0
