state,confirmed,recovered,deceased,active,other,Last Updated
Andaman and Nicobar Islands,7698,7561,129,8,0,2021-12-13T06:24:14Z
Andhra Pradesh,2074868,2058490,14459,1919,0,2021-12-12T16:19:17Z
Arunachal Pradesh,55305,54996,280,29,0,2021-12-12T18:05:25Z
Assam,618607,609878,6137,1245,1347,2021-12-12T17:32:41Z
Bihar,726319,716582,12077,-2341,1,2021-12-12T17:34:21Z
Chandigarh,65633,64496,1076,61,0,2021-12-12T17:37:53Z
Chhattisgarh,1007195,992727,13594,874,0,2021-12-12T17:27:31Z
Delhi,1441718,1416220,25100,398,0,2021-12-12T18:00:17Z
Dadra and Nagar Haveli and Daman and Diu,10685,10647,5,2,31,2021-12-13T06:08:48Z
Goa,179404,175528,3482,394,0,2021-12-13T06:07:52Z
Gujarat,828091,817450,10098,543,0,2021-12-12T17:20:15Z
Himachal Pradesh,227934,223404,3804,710,16,2021-12-12T16:27:13Z
Haryana,772018,761712,10055,251,0,2021-12-12T17:36:14Z
Jharkhand,349422,344148,5141,133,0,2021-12-13T06:10:19Z
Jammu and Kashmir,338871,332835,4495,1541,0,2021-12-12T17:51:49Z
Karnataka,3000436,2954817,38262,7328,29,2021-12-12T16:44:50Z
Kerala,5194996,5112073,42935,39459,529,2021-12-13T09:25:46Z
Ladakh,21796,21417,211,168,0,2021-12-13T05:43:03Z
Lakshadweep,10397,10301,51,1,44,2021-12-13T06:13:15Z
Maharashtra,6645261,6491042,141126,9474,3619,2021-12-12T18:20:11Z
Meghalaya,84654,82898,1474,282,0,2021-12-12T18:09:51Z
Manipur,125515,123159,1990,366,0,2021-12-13T05:59:43Z
Madhya Pradesh,793362,782672,10527,163,0,2021-12-12T17:12:11Z
Mizoram,137686,131040,518,6128,0,2021-12-12T18:01:57Z
Nagaland,32155,30287,699,126,1043,2021-12-12T16:50:42Z
Odisha,1051165,1041365,8457,1343,0,2021-12-13T06:01:25Z
Punjab,603813,586740,16605,468,0,2021-12-13T06:14:45Z
Puducherry,129217,127132,1877,208,0,2021-12-12T16:52:59Z
Rajasthan,955072,945857,8956,259,0,2021-12-12T17:58:47Z
Sikkim,32429,31476,406,222,325,2021-12-13T06:15:54Z
Telangana,678288,670256,4008,4024,0,2021-12-12T16:14:49Z
Tamil Nadu,2735389,2691054,36610,7725,0,2021-12-12T17:13:26Z
Tripura,84870,83934,822,51,63,2021-12-13T05:51:29Z
Uttar Pradesh,1710563,1687488,22912,163,0,2021-12-13T06:20:45Z
Uttarakhand,344459,330677,7410,222,6150,2021-12-13T06:22:46Z
West Bengal,1622932,1595814,19600,7518,0,2021-12-12T17:46:55Z
